Random Deck Scores,Game Deck Scores
100,278
123,273
120,203
98,252
103,209
121,274
84,216
192,336
90,254
108,377
78,280
58,252
100,247
73,210
117,212
128,304
124,260
104,307
166,244
131,294
136,257
101,275
101,240
100,376
121,317
99,272
133,299
102,313
141,164
122,298
144,230
109,263
123,239
148,306
104,313
120,298
113,167
124,249
146,318
98,228
119,269
125,321
112,273
131,348
117,329
102,286
110,345
119,249
80,212
96,292
119,270
100,225
153,259
144,319
100,166
72,329
105,282
165,325
95,302
95,192
121,336
78,289
112,295
124,307
98,261
86,259
148,315
111,175
108,349
85,343
123,263
79,218
92,247
117,283
128,278
103,356
109,325
124,261
79,258
78,291
179,331
72,268
68,317
116,277
134,360
123,222
132,325
99,323
110,279
106,340
116,289
57,252
122,302
102,304
86,330
124,193
99,348
123,214
104,277
110,229
93,232
106,355
126,335
151,240
140,154
139,229
138,328
98,324
116,278
143,221
140,359
76,273
97,319
148,240
103,264
173,231
98,244
110,276
76,245
90,322
82,192
70,285
111,355
84,321
96,252
100,284
117,313
103,371
82,305
149,314
167,238
68,315
65,270
182,252
72,257
101,298
105,376
142,230
84,314
91,241
125,258
102,272
112,292
128,310
100,246
93,319
94,294
108,273
99,286
99,235
109,210
121,300
110,261
97,269
103,211
111,231
89,270
87,234
94,294
104,266
96,288
104,356
183,350
81,312
115,277
92,234
101,214
176,282
122,215
142,295
95,264
89,280
130,305
84,265
105,253
101,269
155,182
128,274
141,260
106,210
131,254
110,264
134,295
133,322
142,300
128,262
103,264
121,241
87,309
106,272
86,253
96,258
89,242
71,294
101,288
138,296
115,300
111,258
97,212
78,281
145,288
79,250
97,250
155,288
115,276
138,291
139,289
136,221
109,265
69,269
78,242
107,354
121,213
115,239
133,382
99,233
88,289
72,321
126,260
142,359
185,263
122,241
67,354
133,262
70,306
53,238
58,277
80,272
105,318
96,180
97,291
128,311
81,237
140,245
117,299
106,326
135,273
106,262
92,233
145,284
134,307
151,271
79,366
110,339
120,227
108,275
78,296
123,318
94,270
102,266
118,250
108,297
79,301
91,298
106,220
127,337
139,253
83,301
95,303
94,293
101,333
134,271
86,315
97,261
84,251
80,245
90,263
112,220
109,293
132,220
110,279
87,272
103,243
132,303
98,256
120,173
92,312
182,360
95,262
83,233
103,227
130,308
87,230
96,222
66,272
90,269
125,302
119,279
133,280
157,293
131,346
91,283
147,349
83,320
94,354
78,277
84,309
93,339
104,282
97,261
148,286
80,312
96,270
142,350
97,242
105,278
112,209
112,255
182,209
79,295
69,263
116,349
98,322
97,234
112,362
88,346
64,310
63,243
123,298
87,315
105,265
106,230
101,241
82,264
102,238
112,275
133,289
126,308
88,313
94,288
92,259
110,248
119,260
75,343
116,237
95,341
93,294
98,261
115,274
102,323
168,231
127,314
110,348
117,290
127,256
97,282
76,278
79,320
114,242
138,300
99,316
96,300
92,314
97,293
204,256
67,241
107,356
93,273
152,321
142,204
94,384
77,243
127,346
108,282
84,265
93,330
106,258
181,224
77,229
91,231
82,310
79,264
108,319
142,314
139,222
170,330
120,285
135,240
101,298
124,238
119,334
131,237
154,289
108,244
104,210
157,364
98,320
104,317
103,318
93,253
140,246
91,315
123,289
136,168
80,312
92,272
144,247
85,298
128,206
95,252
60,272
76,324
117,263
110,282
115,204
56,268
98,195
115,348
93,364
81,377
114,334
122,323
88,208
121,215
112,206
114,244
147,224
130,306
129,399
109,250
132,261
100,209
136,335
147,298
94,333
79,329
120,267
119,249
158,306
81,381
96,302
107,264
90,342
100,209
181,229
84,318
108,363
77,270
95,259
91,277
132,266
64,236
122,242
63,200
86,385
104,255
118,349
141,277
94,263
126,334
103,257
87,215
105,294
78,220
61,249
67,276
96,266
89,255
65,314
107,297
84,235
162,281
77,331
113,336
107,248
75,292
155,250
122,303
149,285
99,326
81,314
106,279
93,206
190,229
110,239
82,321
88,220
139,235
60,224
112,367
133,240
88,188
132,289
60,307
79,351
101,263
94,235
202,159
102,296
103,315
101,326
119,292
120,305
113,244
66,276
127,216
156,262
111,276
144,199
76,243
120,225
120,345
141,308
122,380
113,264
131,280
85,256
129,364
151,214
129,319
118,296
177,344
98,330
78,271
120,345
92,302
123,236
109,308
138,227
110,376
89,331
112,295
88,329
60,317
104,265
100,394
97,232
104,222
75,356
94,305
95,268
80,298
106,369
97,324
101,307
152,367
65,213
118,263
91,321
142,304
89,234
101,230
123,322
97,298
99,336
104,281
108,232
108,255
115,379
105,294
65,312
92,269
130,316
96,230
139,267
111,225
89,300
110,333
132,210
106,389
94,250
68,255
95,328
78,255
119,261
89,280
125,292
144,291
128,284
88,290
139,191
120,321
89,309
105,294
112,274
137,310
100,197
120,247
113,208
68,336
123,347
112,257
85,303
120,205
142,282
95,281
129,246
123,296
102,253
109,248
93,253
139,212
117,269
115,263
109,300
80,355
107,325
116,269
78,309
157,327
82,339
102,286
148,284
127,310
82,213
95,158
173,301
120,298
84,292
123,255
149,301
82,328
107,268
67,254
95,305
114,304
174,391
109,256
87,237
100,280
149,329
77,301
101,312
110,327
75,283
99,194
67,277
132,369
117,303
91,334
98,252
84,208
117,250
124,211
103,257
115,303
131,309
135,217
94,275
83,221
91,298
88,235
151,329
69,323
126,198
179,221
85,310
123,299
111,280
143,336
91,231
141,232
137,229
68,351
200,292
111,324
146,183
61,330
100,250
126,303
102,267
110,267
84,236
152,227
75,254
82,279
124,350
99,330
126,234
83,290
87,268
103,337
104,231
97,312
74,314
113,293
136,332
83,257
113,332
84,332
77,311
90,222
96,250
130,274
97,274
112,279
115,238
64,215
92,338
68,314
137,336
101,232
93,310
96,251
107,255
90,257
153,292
92,210
103,293
89,223
127,249
161,251
153,230
125,321
85,306
113,350
60,376
89,286
139,185
121,248
105,244
198,286
85,257
74,292
110,343
84,279
116,207
123,267
105,237
92,272
93,364
77,224
137,260
76,316
100,219
114,301
131,212
104,214
106,333
101,273
99,332
124,304
161,233
106,266
135,313
124,311
106,269
118,238
97,267
138,265
104,367
93,234
95,322
83,271
75,302
95,241
113,275
106,238
127,305
116,295
95,326
89,226
105,235
87,281
112,273
97,250
93,233
145,339
74,272
88,262
89,283
142,225
101,263
129,261
86,249
93,254
104,218
92,195
101,305
142,200
114,270
96,293
102,316
153,261
108,282
100,281
80,340
115,326
140,237
116,200
164,264
125,274
187,302
78,348
115,271
109,265
97,375
97,343
101,312
103,263
151,219
91,282
111,246
88,275
102,265
118,290
159,228
135,325
130,266
155,378
104,292
76,189
82,202
98,285
115,286
143,290
78,348
123,252
109,222
137,315
76,357
112,270
102,221
116,364
134,289
121,242
91,275
116,254
112,247
85,246
86,251
102,297
115,281
115,351
77,215
114,314
153,316
103,228
68,260
96,182
123,288
94,338
117,230
98,235
66,278
69,349
90,297
67,264
156,230
67,255
66,208
74,355
104,329
121,465
98,230
141,292
112,301
102,195
89,229
118,259
81,241
99,284
130,290
102,260
104,306
83,306
92,302
135,280
72,249
119,282
113,308
160,292
84,271
110,282
70,250
93,272
155,233
120,253
101,275
98,263
90,292
113,293
145,289
72,297
100,280
100,285
142,229
103,379
85,351
138,300
92,220
91,377
119,257
99,267
96,320
126,223
127,219
87,325
141,209
99,330
92,346
93,344
104,193
98,216
100,231
80,199
123,192
114,192
135,312
72,250
79,213
73,341
142,184
123,316
84,230
151,301
127,274
127,292
84,313
107,245
125,253
122,319
112,201
124,265
168,250
171,245
71,281
84,289
128,216
136,272
83,328
93,258
94,167
70,317
112,270
111,265
103,326
145,313
110,234
89,324
78,250
99,355
118,262
101,384
74,312
118,283
142,243
132,287
89,388
181,326
155,288
91,317
55,312
128,292
108,340
150,330
107,253
144,295
124,211
111,220
99,208
102,234
75,266
128,255
90,346
98,270
85,300
114,151
75,227
133,273
110,385
141,245
165,279
149,262
88,253
94,322
118,303
120,201
82,277
104,299
116,285
146,309
114,269
52,271
96,267
95,245
72,254
59,311
93,235
116,225
133,170
77,312
108,260
119,238
84,383
103,272
175,283
120,334
115,233
65,288
119,295
131,357
185,220
142,217
139,314
121,301
186,324
66,281
69,228
101,259
