index,Quarter,ES_signal,ES_Open_Price,NQ_signal,NQ_Open_Price,ZN_signal,ZN_Open_Price,FGBM_signal,FGBM_Open_Price,6E_signal,6E_Open_Price
2026-03-30,2026Q2,0,6380.0,1,23189.5,-1,110.171875,0,,0,1.154
2026-03-31,2026Q2,1,6385.25,1,23119.5,-1,110.765625,0,,0,1.1505
2026-04-01,2026Q2,1,6562.0,1,23889.0,-1,111.015625,0,,0,1.1591
2026-04-02,2026Q2,1,6618.5,1,24180.0,1,110.90625,0,,0,1.1628
2026-04-03,2026Q2,-1,6622.5,1,24219.5,1,111.015625,0,,0,1.1577
2026-04-06,2026Q2,1,6590.0,1,24093.5,-1,110.71875,0,,1,1.156
2026-04-07,2026Q2,1,6650.5,1,24348.75,-1,110.8125,0,,1,1.15785
2026-04-08,2026Q2,1,6689.0,1,24514.0,-1,111.203125,0,,1,1.16345
2026-04-09,2026Q2,1,6814.25,-1,25037.75,1,111.1875,0,,1,1.1703
2026-04-10,2026Q2,1,6858.0,-1,25237.0,-1,111.34375,0,,1,1.1736
2026-04-13,2026Q2,1,6780.0,1,24980.0,-1,110.734375,0,,1,1.171
2026-04-14,2026Q2,1,6925.25,1,25575.25,1,111.25,0,,1,1.17955
2026-04-15,2026Q2,1,7004.0,-1,25985.75,1,111.578125,0,,1,1.1829
2026-04-16,2026Q2,-1,7057.25,1,26350.0,-1,111.359375,0,,1,1.183
2026-04-17,2026Q2,-1,7077.25,1,26460.0,1,111.171875,0,,1,1.1813
2026-04-20,2026Q2,-1,7102.5,1,26599.75,1,111.546875,0,,-1,1.1767
2026-04-21,2026Q2,1,7150.75,1,26776.75,1,111.609375,0,,1,1.1819
2026-04-22,2026Q2,-1,7125.0,1,26729.5,1,111.296875,0,,1,1.1772
2026-04-23,2026Q2,1,7163.0,-1,27075.0,1,111.203125,0,,1,1.17345
2026-04-24,2026Q2,1,7143.0,1,26992.0,1,111.03125,0,,1,1.17135
2026-04-27,2026Q2,1,7185.0,1,27403.25,1,111.15625,0,,1,1.17405
2026-04-28,2026Q2,1,7204.75,1,27423.0,-1,111.015625,0,,1,1.17475
2026-04-29,2026Q2,1,7172.5,1,27197.25,-1,110.890625,0,,-1,1.17385
2026-04-30,2026Q2,1,7150.0,-1,27207.0,-1,110.28125,0,,1,1.17005
2026-05-01,2026Q2,1,7256.0,1,27631.75,-1,110.703125,0,,1,1.17585
2026-05-04,2026Q2,1,7276.25,1,27890.0,-1,110.75,0,,1,1.17605
2026-05-05,2026Q2,1,7228.75,1,27760.0,-1,111.21875,0,,-1,1.17155
2026-05-06,2026Q2,-1,7300.5,1,28250.0,1,110.28125,0,,1,1.1716
2026-05-07,2026Q2,1,7380.5,-1,28662.75,-1,110.828125,0,,1,1.17705
2026-05-08,2026Q2,-1,7340.0,1,28582.0,1,110.484375,0,,1,1.17435
2026-05-11,2026Q2,-1,7403.5,1,29294.0,-1,110.71875,0,,1,1.1789
2026-05-12,2026Q2,-1,7435.5,-1,29399.0,-1,110.359375,0,,1,1.18025
2026-05-13,2026Q2,-1,7419.25,1,29143.75,-1,110.03125,0,,1,1.17575
2026-05-14,2026Q2,-1,7477.5,1,29537.0,-1,110.0625,0,,1,1.17315
2026-05-15,2026Q2,1,7522.25,-1,29690.0,-1,109.90625,0,,1,1.1685
2026-05-18,2026Q2,1,7410.0,1,29135.0,-1,109.0625,0,,1,1.1637
2026-05-19,2026Q2,1,7423.5,1,29100.0,1,109.28125,0,,-1,1.16735
2026-05-20,2026Q2,-1,7377.0,1,28929.75,1,108.71875,0,,-1,1.162
2026-05-21,2026Q2,1,7432.75,1,29253.0,1,109.25,0,,-1,1.1637
2026-05-22,2026Q2,1,7467.0,-1,29444.0,1,109.3125,0,,-1,1.1629
2026-05-25,2026Q2,1,7519.0,-1,29676.25,-1,109.53125,0,,-1,1.1641
2026-05-26,2026Q2,1,7561.25,-1,29962.0,1,109.96875,0,,-1,1.165
2026-05-27,2026Q2,1,7533.0,1,30050.0,1,109.859375,0,,-1,1.1641
2026-05-28,2026Q2,1,7553.75,-1,30120.0,-1,109.875,0,,-1,1.16355
2026-05-29,2026Q2,1,7587.5,1,30328.0,-1,110.109375,0,,-1,1.16595
2026-06-01,2026Q2,1,7595.0,1,30415.5,-1,109.78125,0,,-1,1.1668
2026-06-02,2026Q2,1,7612.0,1,30544.75,-1,109.75,0,,-1,1.16385
2026-06-03,2026Q2,1,,-1,,-1,,0,,-1,
2026-06-04,2026Q2,0,,0,,0,,0,,0,
2026-06-05,2026Q2,0,,0,,0,,0,,0,
2026-06-08,2026Q2,0,,0,,0,,0,,0,
2026-06-09,2026Q2,0,,0,,0,,0,,0,
2026-06-10,2026Q2,0,,0,,0,,0,,0,
2026-06-11,2026Q2,0,,0,,0,,0,,0,
2026-06-12,2026Q2,0,,0,,0,,0,,0,
2026-06-15,2026Q2,0,,0,,0,,0,,0,
2026-06-16,2026Q2,0,,0,,0,,0,,0,
